time(s),colorTemp,lux,R,G,B,
25.99774575,23141,229,1423,394,487,562
26.1568656,22876,234,1436,396,494,569
26.31234241,23215,231,1441,398,492,568
26.47269583,22824,235,1439,397,495,570
26.62448025,23141,229,1422,394,487,562
26.79211116,23075,231,1427,394,489,564
26.94739127,22126,232,1419,395,489,561
27.10704875,23310,231,1433,395,491,567
27.26725054,23803,227,1427,394,487,564
27.42634487,22657,232,1429,396,491,565
27.58273649,22938,232,1432,396,492,567
27.74182153,23766,228,1430,394,488,565
27.90181351,22295,235,1429,396,493,566
28.05736876,23108,230,1424,394,488,563
28.21770668,23491,232,1440,397,494,571
28.37671638,23034,230,1428,396,489,564
28.5369792,23898,226,1419,393,485,562
28.69229794,23423,234,1446,397,496,573
28.85239935,22990,227,1411,392,483,557
29.0121882,22597,234,1429,396,493,567
29.16431952,23468,228,1424,394,487,563
29.32760215,23433,229,1429,394,488,564
29.48731542,22470,232,1420,393,489,562
29.64293957,22627,233,1429,396,492,566
29.79496622,22873,229,1417,393,486,560
29.96253943,22790,230,1422,394,488,562
30.12215972,23398,230,1424,394,489,565
30.28124166,22677,233,1427,395,491,565
30.42982793,22538,230,1417,394,486,559
30.59649587,23349,234,1448,399,497,574
30.75208521,23511,233,1437,396,494,571
30.91217804,22295,235,1432,396,493,566
31.07249618,22990,227,1405,392,483,557
31.23149443,21732,230,1406,393,483,553
31.39168096,20511,240,1430,399,495,562
31.54746199,22400,236,1449,400,497,571
31.70781231,22677,233,1431,395,491,565
31.8662405,22764,216,1372,384,465,536
32.02635264,22726,221,1388,389,473,545
32.18151855,21793,231,1423,398,488,559
