input,colorTemp,lux,R,G,B
0.611469030380249,4589,329,1029,395,434,310
0.3751044273376465,4604,345,1050,400,448,317
0.37679314613342285,4541,313,966,379,413,294
0.35958027839660645,4555,308,946,371,406,289
0.3622472286224365,4522,305,945,372,403,287
0.37520456314086914,4526,303,946,372,402,287
0.36144495010375977,4509,319,970,382,418,295
