input,colorTemp,lux,R,G,B
1.0,4641,329,1077,404,440,319
2.0,4641,331,1078,405,442,320
3.0,4698,336,1077,401,445,322
4.0,,347,1081,404,454,325
5.0,4685,347,1075,402,453,324
6.0,4711,320,1045,389,428,312
7.0,4714,333,1058,394,440,318
8.0,4726,336,1062,395,443,320
9.0,4710,333,1056,393,439,317
10.0,4708,335,1060,394,441,318
11.0,4708,335,1059,394,441,318
