input,colorTemp,lux,R,G,B
clock 1,12109,32,673,257,184,239
clock 2,35843,33,673,257,185,239
clock 3,35843,33,673,257,185,239
blank 1,10722,124,1029,370,311,336
blank 2,10902,125,1040,373,314,340
blank 3,10953,127,1048,374,317,343
clock 1,33717,39,612,243,172,209
clock 2,33717,39,612,243,172,209
clock 3,33717,39,612,243,172,209
