input,colorTemp,lux,R,G,B
clock 1,31462,36,581,238,165,200
clock 1,0
clock 2,462,36,581,238,165,200
clock 3,31462,36,581,238,165,200
clock 4,31462,36,581,238,165,200
clock 5,31462,36,581,238,165,200
clock 6,31462,36,581,238,165,200
blank 1,9647,111,926,347,282,302
blank 2,9418,110,912,345,279,298
blank 3,9453,112,921,347,282,301
clock 1,47031,35,675,257,186,239
clock 2,47031,35,676,257,186,239
clock 3,47031,35,676,257,186,239
